Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EVBN,Evans Bancorp Inc. Common Stock,$40.14,-0.63,-1.545%,222144353.00,United States,,14582,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$17.58,-0.23,-1.291%,224244186.00,United States,1999,8142,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.30,-0.058,-0.62%,0.00,United States,2002,22515,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.13,-0.03,-0.295%,0.00,United States,2003,280602,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$29.40,0.10,0.341%,790994476.00,,,70516,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$15.83,-0.04,-0.252%,0.00,United States,1986,159846,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.02,-0.04,-0.66%,0.00,United States,1992,42471,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$3.335,-0.015,-0.448%,260562169.00,,2023,5265,Consumer Discretionary,Transportation Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.166,0.0114,7.374%,2901111.00,,2022,753940,Finance,Life Insurance
FRD,Friedman Industries Inc. Common Stock,$15.59,-0.20,-1.267%,108670656.00,United States,1975,6441,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$5.62,0.13,2.368%,70000090.00,Canada,2002,38166,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.78,0.04,2.299%,184348753.00,United States,,350103,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.56,0.02,0.306%,265059253.00,United States,2003,244084,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.395,-0.002,-0.504%,59825070.00,,2020,91988,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.25,0.01,0.806%,321149308.00,Canada,,861578,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.08,0.01,0.935%,5542489.00,United States,1993,9320,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$12.72,0.10,0.792%,186445969.00,United States,,54828,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.115,0.035,0.858%,0.00,United States,2005,338258,Finance,Finance/Investors Services
